Sport,Loc,VDV,HCV,HCB,HCD,nam
Bắn súng,Indonesia,4,0,2,0,2024
Quần vợt,Hồng Kông,0,0,0,0,2024
Đấu kiếm,Malaysia,12,5,2,1,2024
Quần vợt,Mỹ,4,0,0,0,2024
Cử tạ,Uzbekistan,1,0,0,0,2024
Đấu kiếm,Qatar,1,0,0,0,2024
Cầu lông,"Iran và 
Azerbaijan",1,1,0,0,2024
Billiards & Snooker,Colombia,4,1,0,0,2024
TDDC,Ai Cập - Đức,3,0,0,0,2024
Muay,Campuchia,1,0,0,0,2024
Triathlon,Thái Lan,1,0,0,0,2024
Bơi lội,Philippines,11,0,2,4,2024
Bơi lội,Pháp,1,0,0,0,2024
Đấu kiếm,Hàn Quốc,4,0,0,0,2024
TTNKT,UAE,4,0,0,0,2024
Pencak Silat,Indonesia,16,11,3,1,2024
Cử tạ,Thái Lan,2,0,1,3,2024
Taekwondo,Trung Quốc,1,0,0,0,2024
Billiards & Snooker,Đức,1,1,0,0,2024
Cầu lông,Thái Lan,5,0,0,0,2024
Bóng bàn,Trung Quốc,0,0,0,0,2024
Billiards & Snooker,Trung Quốc,5,0,0,0,2024
Muay,Thái Lan,1,1,0,0,2024
Muay,Mỹ,0,0,0,0,2024
Cầu lông,"Trung Quốc 
và Thái Lan",6,0,0,0,2024
Judo,Trung Quốc,2,0,0,0,2024
Võ cổ truyền,Pháp,0,0,0,0,2024
Đá cầu,Đức,4,2,1,1,2024
Bóng đá nữ,Hàn Quốc,25,0,0,0,2024
Bắn súng,Thái Lan,5,0,0,0,2024
Thể hình,Lào,7,0,0,0,2024
Bắn súng,Brazil,3,0,0,0,2024
Billiards & Snooker,Hàn Quốc,13,1,1,0,2024
Jujitsu,Mỹ,1,0,0,0,2024
Karate,Thái Lan,7,1,1,1,2024
Bóng chuyền,Đài Loan,14,0,0,0,2024
Cầu lông,Trung Quốc,1,0,0,0,2024
Quần vợt,Mỹ,4,0,0,0,2024
Đua thuyền,Nhật Bản,1,0,0,0,2024
Kickboxing,Campuchia,1,0,1,0,2024
TDDC,Qatar,2,0,0,0,2024
Billiards & Snooker,Indonesia,1,0,0,0,2024
Đấu kiếm,UAE,2,0,0,1,2024
Jujitsu,UAE,2,2,1,2,2024
Sambo,Nga,2,0,0,0,2024
Điền kinh,UAE,1,0,0,0,2024
Billiards & Snooker,Đức,1,0,0,0,2024
Bắn súng,Đức,3,0,0,0,2024
Billiards & Snooker,Anh,1,0,0,1,2024
Bóng bàn,Malaysia,1,0,0,0,2024
Bắn súng,Azerbaijan,1,0,0,0,2024
Cờ vua,Albania,7,1,1,1,2024
Muay,Malaysia,0,0,0,0,2024
Bóng bàn,Thái Lan,8,0,0,0,2024
Bơi lội,Pháp,1,0,0,0,2024
Judo,Indonesia,21,4,3,6,2024
Đá cầu,Pháp,4,1,1,0,2024
Quần vợt,Kazakhstan,1,0,0,0,2024
TDDC,Uzbekistan,4,0,0,0,2024
Thể hình,Indonesia,7,0,0,0,2024
Judo,Nhật Bản,3,0,0,0,2024
TDDC,Uzbekistan,4,0,1,0,2024
Muay,Hy Lạp,2,1,1,0,2024
Thể hình,Lào,7,0,0,0,2024
TTNKT,Nhật Bản,6,0,0,0,2024
Thể dục nghệ thuật,Thái Lan,7,0,0,0,2024
TTNKT,Thái Lan,5,0,0,0,2024
Muay,Hy Lạp,0,0,0,0,2024
Aerobic,Nhật Bản,7,1,0,0,2024
Billiards & Snooker,Trung Quốc,2,0,0,0,2024
Muay,Thái Lan,1,1,0,0,2024
Quần vợt,Hàn Quốc,0,0,0,0,2024
Billiards & Snooker,Saudi Arabia,1,0,0,0,2024
Đua thuyền,Thái Lan,1,0,0,0,2024
Điền kinh,Hàn Quốc,2,0,0,0,2024
Billiards & Snooker,Thổ Nhĩ Kỳ,5,0,0,0,2024
Cầu lông,Úc,1,0,0,0,2024
Cờ vua,Kazakhstan,16,4,7,7,2024
Đấu kiếm,Kuwait,6,0,0,0,2024
Đấu kiếm,Malaysia,3,0,0,0,2024
