Region,Province,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Đồng bằng sông Hồng,Hà Nội,13.8,14.8,10.7,13.1,10.8,11,6.1,7.7,7.5,4.7,4.6,3,4.7,8.8,6.26,7.68,4.79,5.85
Đồng bằng sông Hồng,Hà Tây,2.2,2.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Đồng bằng sông Hồng,Vĩnh Phúc,2.5,2.4,3.8,4.5,4.8,4.3,2.9,6.4,4.9,2.8,2.4,1.7,2,2.5,2.16,2.31,1.45,2.53
Đồng bằng sông Hồng,Bắc Ninh,5.3,12.4,6.2,6.4,9.8,13.4,12.7,19.4,15.4,16,11,9.7,11.1,21.4,40.92,45.66,39.35,39.93
Đồng bằng sông Hồng,Quảng Ninh,3.6,3.5,2.6,5.7,3.7,3.6,2,4.5,3.8,1.7,1.1,1.1,1.4,2.4,0.95,0.37,1.05,0.53
Đồng bằng sông Hồng,Hải Dương,3.1,3.1,4.5,4.3,5,7.8,5.6,5.6,4,1.4,1.2,1.4,3.8,2.5,2.46,1.01,1.86,1.92
Đồng bằng sông Hồng,Hải Phòng,4.1,4.5,3.9,5.6,7,7.1,6,6.6,4,2.9,1.4,2.2,1.6,2.7,2.55,5.93,2.53,2.8
Đồng bằng sông Hồng,Hưng Yên,6.8,6.7,3.9,5.4,6.5,8,7,10.9,7.4,3.5,3.9,3.2,3.4,4.5,8.65,3.64,3.49,3.34
Đồng bằng sông Hồng,Thái Bình,5.8,9.7,4.8,1.6,2.7,2.3,1.2,2.2,4.7,0.5,1.6,1.1,1,1.7,0.66,0.71,0.96,0.52
Đồng bằng sông Hồng,Hà Nam,2.3,2.8,4.9,2.4,4.1,6.6,1.4,6.1,6.7,2.6,3,1.1,1.6,3.3,6.4,3.01,1.5,1.88
Đồng bằng sông Hồng,Nam Định,1.9,3.9,0.7,2.2,4.1,6.1,2.3,3.5,4.6,0.6,0.7,1.9,2.4,1.6,1.96,1.04,2.11,2.43
Đồng bằng sông Hồng,Ninh Bình,3.6,6.4,4.6,3.5,5.9,10.2,10.2,11.9,7.9,5.6,3.4,3.9,4.8,2.6,1.8,2.39,4.21,3.2
Trung du và miền núi phía Bắc,Hà Giang,0.6,0.9,0.9,2.2,1.9,2.4,1.3,2.8,1.4,1.1,0.2,0.1,0.1,1,0.71,0.32,0.51,0.21
Trung du và miền núi phía Bắc,Cao Bằng,4.2,5.9,5.2,3.7,4.7,4.6,4.4,8.1,3.3,4,3.3,1.7,1.9,1.8,2.19,2.5,2.74,2.12
Trung du và miền núi phía Bắc,Bắc Kạn,4.3,5,2.6,4.7,4.6,4.8,3.1,4.7,4,2.2,1,1.6,1.2,1.6,0.95,1.42,1.51,0.83
Trung du và miền núi phía Bắc,Tuyên Quang,2.8,2.6,3.9,2.4,2.8,3.7,2.1,3.3,3.9,1.4,1.4,1.2,1.5,1.6,1.44,3.29,0.7,0.31
Trung du và miền núi phía Bắc,Lào Cai,1.2,1.8,1.4,3.9,3.7,3.4,2.9,4.4,2,1.9,1.4,2.6,0.5,2.2,0.82,0.69,0.64,0.47
Trung du và miền núi phía Bắc,Yên Bái,2.3,3.8,3.6,2.1,3.4,4.4,1.8,4,4.4,2.2,1.4,1.3,2.1,1.6,2.17,1.54,1.6,1.45
Trung du và miền núi phía Bắc,Thái Nguyên,5.9,6.1,4.3,6,11.5,7.7,4.7,4.1,6.5,3.5,2.9,2.8,3,6.9,1.01,1.74,0.78,1.3
Trung du và miền núi phía Bắc,Lạng Sơn,1.2,1.3,2.5,2.6,3,6.2,3.5,6.1,2,2.4,1.4,1.3,2.2,1.3,1.69,0.86,1.28,0.98
