Region,Province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Đồng bằng sông Hồng,Hà Nội,4944,4000,4000,4000,4000,7965,7879,9192,10111,10462,10229,11450,12825
Đồng bằng sông Hồng,Vĩnh Phúc,3076,4000,4000,4000,4000,5739,6706,7817,8463,8836,9016,9789,10528
Đồng bằng sông Hồng,Bắc Ninh,3016,4000,4000,4000,4000,7807,8305,8982,9456,9973,10542,11166,11840
Đồng bằng sông Hồng,Quảng Ninh,6108,4000,4000,4000,4000,7852,7894,8293,9499,10091,10265,11129,12469
Đồng bằng sông Hồng,Hải Dương,2968,4000,4000,4000,4000,5985,6714,6944,7596,8375,8203,9194,9602
Đồng bằng sông Hồng,Hải Phòng,3151,4000,4000,4000,4000,6329,6853,7037,8181,8199,9214,10621,11674
Đồng bằng sông Hồng,Hưng Yên,2984,4000,4000,4000,4000,6150,6445,7603,8155,8202,8736,10123,10985
Đồng bằng sông Hồng,Thái Bình,2302,4000,4000,4000,4000,4311,4646,5112,5913,6012,6241,7204,7491
Đồng bằng sông Hồng,Hà Nam,2720,4000,4000,4000,4000,5439,6219,6810,6808,7694,7602,8561,9402
Đồng bằng sông Hồng,Nam Định,2245,4000,4000,4000,4000,4512,4859,5457,5719,5921,6420,7096,7545
Đồng bằng sông Hồng,Ninh Bình,2930,4000,4000,4000,4000,4816,5115,5439,5810,6789,7160,8155,8476
Đồng bằng sông Hồng,Hà Giang,2917,4000,4000,4000,4000,4594,5257,5472,5881,6235,6152,6209,7493
Trung du và miền núi phía Bắc,Cao Bằng,3244,4000,4000,4000,4000,5161,5666,6086,6285,6367,6996,7528,7621
Trung du và miền núi phía Bắc,Bắc Kạn,2465,4000,4000,4000,4000,4520,5084,5632,6513,6812,7191,6798,7496
Trung du và miền núi phía Bắc,Tuyên Quang,2705,4000,4000,4000,4000,5211,5252,6252,6181,6904,7454,6982,6957
Trung du và miền núi phía Bắc,Lào Cai,3571,4000,4000,4000,4000,6560,6692,6795,7928,9037,7746,8483,10695
Trung du và miền núi phía Bắc,Yên Bái,3182,4000,4000,4000,4000,5318,6050,5907,5682,6156,7275,7312,7922
Trung du và miền núi phía Bắc,Thái Nguyên,3433,4000,4000,4000,4000,7788,9283,8744,8938,9432,9308,10773,11066
Trung du và miền núi phía Bắc,Lạng Sơn,2853,4000,4000,4000,4000,5345,5569,5560,5648,5772,6138,7148,7567
Trung du và miền núi phía Bắc,Bắc Giang,2628,4000,4000,4000,4000,5494,7168,7807,7466,8134,8643,8303,10676
Trung du và miền núi phía Bắc,Phú Thọ,2603,4000,4000,4000,4000,5347,5615,5971,6863,7499,7309,8017,8655
Trung du và miền núi phía Bắc,Điện Biên,3813,4000,4000,4000,4000,4493,4528,4316,4332,4665,4343,4942,5546
Trung du và miền núi phía Bắc,Lai Châu,2994,4000,4000,4000,4000,5001,5712,5460,5735,5745,6017,6826,7178
Trung du và miền núi phía Bắc,Sơn La,2905,4000,4000,4000,4000,4112,4391,4583,4859,4973,5815,6408,6830
Trung du và miền núi phía Bắc,Hòa Bình,2508,4000,4000,4000,4000,5911,5886,6048,6521,6574,6369,7020,7584
Trung du và miền núi phía Bắc,Thanh Hóa,2316,4000,4000,4000,4000,5201,4805,4910,5096,5327,5629,6505,7638
Bắc Trung Bộ và duyên hải miền Trung,Nghệ An,2826,4000,4000,4000,4000,4440,5366,5534,5727,5745,6500,7461,7868
Bắc Trung Bộ và duyên hải miền Trung,Hà Tĩnh,2651,4000,4000,4000,4000,4730,5893,6130,6507,7069,7259,7582,7443
Bắc Trung Bộ và duyên hải miền Trung,Quảng Bình,2455,4000,4000,4000,4000,5873,4924,5208,5618,6321,5919,6508,7065
Bắc Trung Bộ và duyên hải miền Trung,Quảng Trị,2963,4000,4000,4000,4000,4840,5204,5721,5722,5777,5550,5771,6897
Bắc Trung Bộ và duyên hải miền Trung,Thừa Thiên - Huế,2606,4000,4000,4000,4000,4718,4850,5456,5756,6144,6425,6960,7544
Bắc Trung Bộ và duyên hải miền Trung,Đà Nẵng,3368,4000,4000,4000,4000,6179,6619,7242,7651,8449,8027,8813,10245
Bắc Trung Bộ và duyên hải miền Trung,Quảng Nam,2523,4000,4000,4000,4000,4984,5186,5578,6084,6495,6283,8152,8562
Bắc Trung Bộ và duyên hải miền Trung,Quảng Ngãi,3257,4000,4000,4000,4000,6777,7356,7864,8172,8156,8595,9706,9222
Bắc Trung Bộ và duyên hải miền Trung,Bình Định,2645,4000,4000,4000,4000,4958,4994,5423,5748,6250,6886,7323,7643
Bắc Trung Bộ và duyên hải miền Trung,Phú Yên,1890,4000,4000,4000,4000,4672,4782,5416,5484,5623,5657,6222,6844
Bắc Trung Bộ và duyên hải miền Trung,Khánh Hòa,3229,4000,4000,4000,4000,5551,5669,6557,7418,6982,7915,7903,9947
Bắc Trung Bộ và duyên hải miền Trung,Ninh Thuận,3001,4000,4000,4000,4000,5207,5635,5744,6587,6784,6947,7977,8202
Bắc Trung Bộ và duyên hải miền Trung,Bình Thuận,2793,4000,4000,4000,4000,4261,4628,5348,5936,6200,6314,7750,7951
Bắc Trung Bộ và duyên hải miền Trung,Tây Nguyên,3027,4000,4000,4000,4000,4949,5159,5476,5745,5909,6427,7521,8326
Bắc Trung Bộ và duyên hải miền Trung,Kon Tum,3869,4000,4000,4000,4000,4706,4971,5046,5787,5864,6174,7430,7750
Bắc Trung Bộ và duyên hải miền Trung,Gia Lai,3329,4000,4000,4000,4000,5156,5050,6011,6005,6030,6554,7666,7848
Bắc Trung Bộ và duyên hải miền Trung,Đắk Lắk,2519,4000,4000,4000,4000,4105,4686,4742,4641,4863,5757,6733,7539
Bắc Trung Bộ và duyên hải miền Trung,Đắk Nông,2671,4000,4000,4000,4000,4793,4854,4644,5190,5561,6303,7560,10472
Bắc Trung Bộ và duyên hải miền Trung,Lâm Đồng,3045,4000,4000,4000,4000,5938,6010,6280,6938,7093,7289,8200,9072
Bắc Trung Bộ và duyên hải miền Trung,Bình Phước,4680,4000,4000,4000,4000,5549,6333,6903,7013,7401,7843,8841,9697
Đông Nam Bộ,Tây Ninh,3745,4000,4000,4000,4000,5877,6211,7130,7639,8119,8634,9211,10611
Đông Nam Bộ,Bình Dương,3687,4000,4000,4000,4000,6955,7544,8189,8645,9488,9770,10356,12006
Đông Nam Bộ,Đồng Nai,3712,4000,4000,4000,4000,7011,8013,8817,9752,10009,9784,9887,10471
Đông Nam Bộ,Bà Rịa - Vũng Tàu,8182,4000,4000,4000,4000,9476,9873,10401,10780,11513,11988,12128,13400
Đông Nam Bộ,TP. Hồ Chí Minh,4544,4000,4000,4000,4000,8175,8678,9854,10330,10820,10906,11769,13968
Đông Nam Bộ,Long An,2945,4000,4000,4000,4000,5824,6612,7181,7315,7788,8491,8742,9963
Đồng bằng sông Cửu Long,Tiền Giang,2309,4000,4000,4000,4000,5265,6018,5699,6990,7451,7396,6327,8869
Đồng bằng sông Cửu Long,Bến Tre,2670,4000,4000,4000,4000,5639,6127,6220,6642,6920,6621,7257,8252
Đồng bằng sông Cửu Long,Trà Vinh,2206,4000,4000,4000,4000,4628,4735,5578,5872,5705,5607,6937,7237
Đồng bằng sông Cửu Long,Vĩnh Long,2416,4000,4000,4000,4000,4490,5137,5139,5784,6330,6569,6629,8711
Đồng bằng sông Cửu Long,Đồng Tháp,2627,4000,4000,4000,4000,5125,5561,6599,6915,6852,7146,5992,7147
Đồng bằng sông Cửu Long,An Giang,3633,4000,4000,4000,4000,5738,5568,5815,6127,6310,6556,6494,7692
Đồng bằng sông Cửu Long,Kiên Giang,2699,4000,4000,4000,4000,5660,5308,6200,7101,7173,7612,7495,8069
Đồng bằng sông Cửu Long,Cần Thơ,2825,4000,4000,4000,4000,5416,5850,5602,6383,6474,6969,7218,7773
Đồng bằng sông Cửu Long,Hậu Giang,3264,4000,4000,4000,4000,4824,4998,5759,5750,6027,6442,6195,7706
Đồng bằng sông Cửu Long,Sóc Trăng,2325,4000,4000,4000,4000,4951,5021,6071,7097,7135,6823,6086,5999
Đồng bằng sông Cửu Long,Bạc Liêu,1897,4000,4000,4000,4000,3937,4719,4174,5261,5642,5782,6182,6465
Đồng bằng sông Cửu Long,Cà Mau,2815,4000,4000,4000,4000,5628,6197,6843,7003,7005,6759,7861,8969
Đồng bằng sông Cửu Long,,4215,4000,4000,4000,4000,7107,7281,8196,8998,9358,9422,10505,11521
Trung du và miền núi phía Bắc,,2955,4000,4000,4000,4000,5863,6799,6960,7233,7764,7896,8337,9530
Bắc Trung Bộ và duyên hải miền Trung,,2789,4000,4000,4000,4000,5177,5521,5953,6317,6608,6815,7616,8385
Đông Nam Bộ,,4422,4000,4000,4000,4000,7666,8255,9218,9744,10260,10362,11004,12749
Đồng bằng sông Cửu Long,,2736,4000,4000,4000,4000,5380,5843,6178,6755,7039,7333,7286,8493
