Region,Province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Đồng bằng sông Hồng,Hà Nội,4.9,6.4,3.3,7.4,7.8,4.1,2.6,3.3,2.6,2.5,2.53,1.75,2.84
Đồng bằng sông Hồng,Hà Tây,..,..,..,..,..,..,..,..,..,..,..,..,..
Đồng bằng sông Hồng,Vĩnh Phúc,7.2,16,4,6.8,4.5,4.3,2.4,1.4,1.2,4.8,2.8,2.14,1.88
Đồng bằng sông Hồng,Bắc Ninh,7.6,6.5,5.5,6.1,5.4,3.2,3.6,4.2,2,4.3,5.09,3.93,2.98
Đồng bằng sông Hồng,Quảng Ninh,5.4,5.5,4.8,10.4,7.8,3.6,2.2,1.7,3.2,3.8,3.76,3.44,5.14
Đồng bằng sông Hồng,Hải Dương,7.2,5.5,4.8,8.5,5.6,2.4,2.6,2.1,1.5,4.7,2.96,3.03,4.8
Đồng bằng sông Hồng,Hải Phòng,3.8,5,2.1,4,3.4,1.4,1.8,0.8,1.6,2.7,1.49,2.03,1.08
Đồng bằng sông Hồng,Hưng Yên,6.7,6.1,9.6,6.5,5.2,4.6,3.1,1.6,1.8,5,4.58,3.7,1.24
Đồng bằng sông Hồng,Thái Bình,11.1,9.4,9.1,8.6,8.6,4.7,2.9,2.5,3.9,7.1,5.05,6.22,3.29
Đồng bằng sông Hồng,Hà Nam,8.7,10.5,5.6,6.2,8.7,5.9,4.8,6,5.6,6.7,4.81,4.52,2.94
Đồng bằng sông Hồng,Nam Định,8.4,7.4,7.8,8.4,8.3,3.7,3.9,3,5.7,9.3,6.06,9.36,4.65
Đồng bằng sông Hồng,Ninh Bình,9.2,8.5,6.4,11.1,7.5,4.5,2.6,3,5.5,6.5,2.28,4.69,2.07
Trung du và miền núi phía Bắc,Hà Giang,19,3.6,1.7,2.6,2.1,2.7,2.7,1.8,3.4,4.8,5.44,7.89,10.78
Trung du và miền núi phía Bắc,Cao Bằng,9.6,10.1,15.6,8.6,8.2,4,4.2,4.8,3.6,7.5,11.52,7.29,7.55
Trung du và miền núi phía Bắc,Bắc Kạn,6.3,6.7,4.6,11.7,10.1,2.5,4.4,4.1,3,9.6,4.99,13.43,4.4
Trung du và miền núi phía Bắc,Tuyên Quang,4.7,13.5,3.5,5.1,6.4,3.8,3.3,2.5,4.6,9.3,12.08,12.2,7.65
Trung du và miền núi phía Bắc,Lào Cai,3.8,2.4,3,5.1,4.1,4.8,3.5,2.7,1.9,3.7,3.26,6.75,6.4
Trung du và miền núi phía Bắc,Yên Bái,4.1,7.4,4.6,7.4,5.7,3.3,3.3,2.7,3.6,6.1,7.33,8.08,8.17
Trung du và miền núi phía Bắc,Thái Nguyên,6.9,9.7,7.2,8.5,7.8,4.9,3.7,3.1,2.9,4.9,5.59,4.47,3.21
Trung du và miền núi phía Bắc,Lạng Sơn,8.2,8.1,7.8,6.3,7.1,5.3,3.6,4,3,8.7,13.05,13.77,6.34
Trung du và miền núi phía Bắc,Bắc Giang,10,10.4,6.8,9.2,5.8,4.2,7,2.5,2.8,5.5,4.47,3.53,4.2
Trung du và miền núi phía Bắc,Phú Thọ,14.2,13.7,5,7,7.7,3.4,3.8,1,3.9,5.7,3.28,2.41,2.93
Trung du và miền núi phía Bắc,Điện Biên,1.3,2.1,3.6,4.5,2.7,1.4,1.7,3.2,1.4,3.6,4.1,7.36,3.65
Trung du và miền núi phía Bắc,Lai Châu,2.5,4.1,3.4,4.7,3.8,16.7,16.1,3.1,1.8,2.8,4.47,3.87,5.58
Trung du và miền núi phía Bắc,Sơn La,2.4,1.8,3.4,2.6,3,1.9,2,1.3,6,3.9,7.09,5.08,4.67
Trung du và miền núi phía Bắc,Hòa Bình,5.8,7.8,5.8,10.9,8.4,3.4,2.2,2.2,5.3,7,12.07,12.35,7.26
Bắc Trung Bộ và duyên hải miền Trung,Thanh Hóa,13,14.5,10.3,11,10.1,7.2,3.9,4.8,4.2,8.5,10.14,7.85,6.76
Bắc Trung Bộ và duyên hải miền Trung,Nghệ An,10.3,11.8,10.5,12.5,10.1,5.4,3,2.7,4.9,7,10.05,7.57,5.15
Bắc Trung Bộ và duyên hải miền Trung,Hà Tĩnh,14.4,12.4,12.8,11,14.9,8.2,5.1,4.9,5.5,8.1,6.75,7.93,5.51
Bắc Trung Bộ và duyên hải miền Trung,Quảng Bình,13.4,10.3,7.6,14.5,11.4,6.6,5.3,3.3,4.9,7.3,6.63,5.4,3.53
Bắc Trung Bộ và duyên hải miền Trung,Quảng Trị,11.4,10,8.4,10.2,10.9,7.4,9.2,2.4,4.9,9.5,10.59,6.65,7.65
Bắc Trung Bộ và duyên hải miền Trung,Thừa Thiên - Huế,10.3,8.6,7.7,7.1,11.6,8.4,9.7,2.7,6.1,7.4,7.35,3.88,4.76
Bắc Trung Bộ và duyên hải miền Trung,Đà Nẵng,3.4,7.9,6.3,9.7,13.8,6.7,5.8,2.7,1.9,3,2.67,5.41,4.62
Bắc Trung Bộ và duyên hải miền Trung,Quảng Nam,14.6,11.1,6.9,7.7,6.7,6.3,5.1,3,2.8,7.7,7.07,8.14,3.14
Bắc Trung Bộ và duyên hải miền Trung,Quảng Ngãi,12,13.3,7.6,6,8.4,3.1,2.8,7.9,5.2,9.6,6.8,5.47,5.4
Bắc Trung Bộ và duyên hải miền Trung,Bình Định,9.9,10,9.8,7.5,8.2,3.3,4.2,2.5,2.3,8.3,10.51,7.04,7.79
Bắc Trung Bộ và duyên hải miền Trung,Phú Yên,8.4,14,6.2,6.3,7.7,9.3,2.8,2.9,4.2,7.4,12.01,5.24,12.04
Bắc Trung Bộ và duyên hải miền Trung,Khánh Hòa,11.9,8.4,5.5,4.7,7.4,4.9,3.7,0.8,1.3,3.9,2.55,2.69,3.94
Bắc Trung Bộ và duyên hải miền Trung,Ninh Thuận,17.1,15.8,4.5,3.1,6.8,5.3,4.9,3,2.3,7.7,5.33,3.77,3.42
Bắc Trung Bộ và duyên hải miền Trung,Bình Thuận,9.6,8.5,6.1,8.5,6.9,3.1,1.5,2.5,3,5.6,10.34,5.91,4.17
Bắc Trung Bộ và duyên hải miền Trung,Tây Nguyên,6.1,8.4,5,6.1,6.1,3.4,4.4,2.6,3.2,4.6,7.9,5.4,4.29
Bắc Trung Bộ và duyên hải miền Trung,Kon Tum,4.1,9.8,5.3,5.9,7.6,1.9,6.1,1.1,2.7,4.1,9.27,5.84,2.15
Bắc Trung Bộ và duyên hải miền Trung,Gia Lai,5.9,6.9,5.3,8.1,7.1,2.3,3.5,4.1,2.2,4.3,6.31,5.89,3.99
Bắc Trung Bộ và duyên hải miền Trung,Đắk Lắk,8.8,12.3,7.8,8.5,6.1,4.5,4.9,3,4,6.2,10.5,6.89,7.65
Bắc Trung Bộ và duyên hải miền Trung,Đắk Nông,3.2,10.7,6.1,6.7,7.1,4.9,6.2,4.4,5.3,5.6,10.66,8.12,4.23
Bắc Trung Bộ và duyên hải miền Trung,Lâm Đồng,7.5,8.3,8.9,8.4,9.1,5.3,4.4,2.1,4,5.6,6.04,1.99,2.51
Đông Nam Bộ,Bình Phước,17.2,11.7,8.9,9.2,12,3.6,4.3,4.7,3,6.7,6.3,4.17,2.37
Đông Nam Bộ,Tây Ninh,7.2,7.5,3.9,6.3,6.5,4.2,3.8,1.5,1.9,4.5,6.53,3.63,1.72
Đông Nam Bộ,Bình Dương,15,22.1,10.2,19.9,18.2,10,8.8,6.7,5.7,3.4,4.06,4.87,4.21
Đông Nam Bộ,Đồng Nai,10.8,9.3,6,7.9,11.7,6.2,5.3,3.9,1.8,4.6,3.98,8.8,3.15
Đông Nam Bộ,Bà Rịa - Vũng Tàu,8.9,10.8,7.7,6.9,7.8,5.3,3.5,2.2,3.1,5.8,4.28,3.93,4.32
Đông Nam Bộ,TP. Hồ Chí Minh,7.8,13.5,7.2,10.3,11.4,5.7,4.1,3.2,3.2,3.1,3.94,3.59,3.67
Đồng bằng sông Cửu Long,Long An,9,7.7,7.5,6.8,8.8,6.5,6.3,4,7.1,6,8.02,6.54,4.42
Đồng bằng sông Cửu Long,Tiền Giang,9.2,9.5,9.4,6.5,7.3,5.3,3.2,3.5,5.1,7.7,7.55,8.73,3.61
Đồng bằng sông Cửu Long,Bến Tre,15.1,15.5,10.8,9.2,13.9,7.4,6.3,4,6.8,9.6,13.52,8.39,4.66
Đồng bằng sông Cửu Long,Trà Vinh,9.1,12.7,8.7,7.3,12.4,5.5,3.9,3.1,12.4,10.6,22.27,12.85,10.23
Đồng bằng sông Cửu Long,Vĩnh Long,17.6,11.5,9.3,7.2,10.6,7.7,3.5,7.8,4,10.9,11.99,10.28,6.29
Đồng bằng sông Cửu Long,Đồng Tháp,10.7,11.1,8.8,9.5,9.6,9.1,7.6,7,6.2,12.8,10.1,25.48,8.5
Đồng bằng sông Cửu Long,An Giang,11.9,16,11.2,11.3,12.7,11.8,10.4,5,11.9,15.6,17.99,25.79,9.94
Đồng bằng sông Cửu Long,Kiên Giang,14.5,15.2,8.8,10.8,9.6,9.9,11,10.8,6.8,11.3,12.48,16.86,4.48
Đồng bằng sông Cửu Long,Cần Thơ,11.5,11,7.1,13.6,11.4,7.7,6.3,2.6,6.3,7.2,16.64,13.36,5.01
Đồng bằng sông Cửu Long,Hậu Giang,10.9,5.4,11.6,10.8,18,6.1,3.8,8.9,6.4,14.6,25.08,18.81,7.79
Đồng bằng sông Cửu Long,Sóc Trăng,12.7,14.8,10.2,9.5,12,6.2,6.6,8.3,15,16.2,20.32,21.8,15.27
Đồng bằng sông Cửu Long,Bạc Liêu,13.2,9.6,10.7,16.4,16.6,7.6,7.5,4.4,6.9,11.8,16.61,17.91,6.66
Đồng bằng sông Cửu Long,Cà Mau,29.7,16.3,8.2,11.4,16.4,7.7,9.1,9.4,7.7,13.8,15.83,20.22,12.89
Đồng bằng sông Hồng,,3,3.6,2.5,3.9,3.6,1.8,1.2,1.3,1.4,1.8,1.8,1.3,1.26
Trung du và miền núi phía Bắc,,6.2,6.1,4.2,5,4.3,3,3.3,1.8,2.8,4.6,6,6,5.02
Bắc Trung Bộ và duyên hải miền Trung,,8.8,8.7,6.5,6.7,7.1,4.4,3,2.6,3.3,5.9,7.2,4.8,4.33
Đông Nam Bộ,,4.9,8.6,3.8,7.4,7.3,3.1,2.4,2.4,1.9,1.5,1.7,2.2,2.42
Đồng bằng sông Cửu Long,,10.2,9.6,6.5,7,8.9,6.5,5.7,4.6,6.8,9,11.8,13.8,5.21
